2023-10-27 07:05:56,752: Key.shift
2023-10-27 07:05:57,073: 'X'
2023-10-27 07:05:59,419: Key.enter
2023-10-27 07:05:59,936: Key.ctrl
2023-10-27 07:06:00,152: 'c'
2023-10-27 07:06:24,131: Key.cmd
2023-10-27 07:06:24,260: '3'
2023-10-27 07:06:27,209: Key.enter
2023-10-27 07:06:28,494: Key.shift
2023-10-27 07:06:28,844: '/'
2023-10-27 07:06:28,890: '/'
2023-10-27 07:06:30,211: 'f'
2023-10-27 07:06:30,324: 'i'
2023-10-27 07:06:30,402: 'n'
2023-10-27 07:06:32,126: Key.backspace
2023-10-27 07:06:32,312: Key.backspace
2023-10-27 07:06:32,483: Key.backspace
2023-10-27 07:06:32,659: Key.backspace
2023-10-27 07:06:32,839: Key.backspace
2023-10-27 07:06:35,575: Key.cmd
2023-10-27 07:06:37,220: '1'
2023-10-27 07:06:39,146: Key.ctrl
2023-10-27 07:06:39,444: 'c'
