2023-10-30 08:49:08,908: Key.cmd
2023-10-30 08:49:09,066: 'd'
2023-10-30 08:49:15,918: 'j'
2023-10-30 08:49:16,003: 'i'
2023-10-30 08:49:16,181: 'm'
2023-10-30 08:49:16,426: 'm'
2023-10-30 08:49:16,626: 'y'
2023-10-30 08:49:16,772: 'y'
2023-10-30 08:49:16,858: 'y'
2023-10-30 08:49:16,986: 'y'
2023-10-30 08:49:17,656: Key.enter
2023-10-30 08:49:23,094: Key.cmd
2023-10-30 08:49:23,251: 'w'
2023-10-30 08:49:24,437: Key.cmd
2023-10-30 08:49:24,585: 'w'
2023-10-30 08:49:26,931: Key.cmd
2023-10-30 08:49:27,095: 'c'
2023-10-30 08:49:30,376: Key.ctrl
2023-10-30 08:49:30,557: 'c'
2023-11-07 13:12:54,574: 'f'
2023-11-07 13:12:54,671: 'd'
2023-11-07 13:12:55,023: 'f'
2023-11-07 13:12:55,095: 'd'
2023-11-07 13:12:55,947: Key.enter
2023-11-07 13:12:56,621: Key.ctrl
2023-11-07 13:12:56,805: 'c'
2023-11-07 13:14:06,896: 'l'
2023-11-07 13:14:07,043: 's'
2023-11-07 13:14:07,182: 'l'
2023-11-07 13:14:07,343: 's'
2023-11-07 13:14:07,578: Key.enter
2023-11-07 13:14:08,609: Key.ctrl
2023-11-07 13:14:08,791: 'c'
